"index","mc","mclds","mismc","mismclds"
"267","0.000094","0.000029","0.000123","0.000010",
"268","0.000111","0.000010","0.000125","0.000010",
"269","0.000115","0.000010","0.000124","0.000010",
"270","0.000101","0.000020","0.000118","0.000010",
"271","0.000115","0.000021","0.000108","0.000010",
"272","0.000170","0.000015","0.000085","0.000010",
"273","0.000102","0.000050","0.000078","0.000011",
"274","0.000099","0.000012","0.000064","0.000010",
"275","0.000132","0.000032","0.000075","0.000010",
"276","0.000117","0.000010","0.000074","0.000010",
"277","0.000066","0.000018","0.000082","0.000010",
"278","0.000088","0.000030","0.000080","0.000010",
"279","0.000083","0.000019","0.000076","0.000010",
"280","0.000065","0.000021","0.000077","0.000010",
"281","0.000124","0.000028","0.000077","0.000010",
"282","0.000090","0.000010","0.000073","0.000010",
"283","0.000145","0.000022","0.000073","0.000010",
"284","0.000108","0.000010","0.000063","0.000010",
"285","0.000130","0.000016","0.000058","0.000010",
"286","0.000118","0.000047","0.000058","0.000010",
"287","0.000148","0.000010","0.000054","0.000010",
"288","0.000132","0.000030","0.000064","0.000010",
"289","0.000128","0.000010","0.000050","0.000010",
"290","0.000134","0.000012","0.000062","0.000010",
"291","0.000123","0.000020","0.000063","0.000010",
"292","0.000090","0.000022","0.000062","0.000010",
"293","0.000094","0.000015","0.000060","0.000010",
"294","0.000067","0.000042","0.000054","0.000010",
"295","0.000039","0.000012","0.000051","0.000010",
"296","0.000035","0.000027","0.000058","0.000010",
"297","0.000010","0.000010","0.000056","0.000010",
"298","0.000014","0.000018","0.000064","0.000010",
"299","0.000023","0.000035","0.000062","0.000010",
"300","0.000021","0.000011","0.000067","0.000010",
"301","0.000010","0.000023","0.000071","0.000010",
"302","0.000043","0.000015","0.000061","0.000010",
"303","0.000015","0.000010","0.000066","0.000010",
"304","0.000035","0.000018","0.000066","0.000010",
"305","0.000042","0.000016","0.000057","0.000010",
"306","0.000062","0.000014","0.000047","0.000010",
"307","0.000065","0.000046","0.000047","0.000010",
"308","0.000057","0.000010","0.000047","0.000010",
"309","0.000057","0.000029","0.000041","0.000010",
"310","0.000027","0.000010","0.000042","0.000010",
"311","0.000038","0.000015","0.000046","0.000010",
"312","0.000021","0.000023","0.000045","0.000010",
"313","0.000069","0.000019","0.000046","0.000010",
"314","0.000095","0.000016","0.000057","0.000010",
"315","0.000074","0.000031","0.000045","0.000010",
"316","0.000092","0.000010","0.000040","0.000010",
"317","0.000087","0.000022","0.000042","0.000010",
"318","0.000080","0.000010","0.000034","0.000010",
"319","0.000083","0.000015","0.000033","0.000010",
"320","0.000100","0.000039","0.000025","0.000010",
"321","0.000095","0.000010","0.000028","0.000010",
"322","0.000151","0.000025","0.000024","0.000010",
"323","0.000167","0.000010","0.000025","0.000010",
"324","0.000179","0.000010","0.000022","0.000010",
"325","0.000148","0.000017","0.000019","0.000010",
"326","0.000142","0.000019","0.000022","0.000010",
"327","0.000156","0.000013","0.000013","0.000010",
"328","0.000186","0.000041","0.000010","0.000010",
"329","0.000183","0.000010","0.000011","0.000010",
"330","0.000189","0.000026","0.000010","0.000010",
"331","0.000195","0.000010","0.000015","0.000010",
"332","0.000186","0.000016","0.000017","0.000010",
"333","0.000179","0.000028","0.000019","0.000010",
"334","0.000151","0.000013","0.000022","0.000010",
"335","0.000160","0.000019","0.000022","0.000010",
"336","0.000159","0.000019","0.000023","0.000010",
"337","0.000130","0.000010","0.000025","0.000010",
"338","0.000100","0.000018","0.000024","0.000010",
"339","0.000132","0.000011","0.000016","0.000010",
"340","0.000158","0.000013","0.000017","0.000010",
"341","0.000193","0.000041","0.000024","0.000010",
"342","0.000210","0.000010","0.000025","0.000010",
"343","0.000192","0.000026","0.000024","0.000010",
"344","0.000193","0.000010","0.000029","0.000010",
"345","0.000179","0.000011","0.000027","0.000010",
"346","0.000180","0.000018","0.000030","0.000010",
"347","0.000155","0.000019","0.000033","0.000010",
"348","0.000145","0.000013","0.000027","0.000010",
"349","0.000162","0.000033","0.000029","0.000010",
"350","0.000173","0.000010","0.000019","0.000010",
"351","0.000176","0.000022","0.000018","0.000010",
"352","0.000172","0.000010","0.000018","0.000010",
"353","0.000180","0.000015","0.000012","0.000010",
"354","0.000193","0.000032","0.000010","0.000010",
"355","0.000183","0.000010","0.000010","0.000010",
"356","0.000176","0.000021","0.000010","0.000010",
"357","0.000151","0.000010","0.000010","0.000010",
"358","0.000154","0.000010","0.000010","0.000010",
"359","0.000127","0.000015","0.000012","0.000010",
"360","0.000157","0.000015","0.000010","0.000010",
"361","0.000176","0.000011","0.000010","0.000010",
"362","0.000174","0.000039","0.000013","0.000010",
"363","0.000187","0.000010","0.000017","0.000010",
"364","0.000150","0.000024","0.000022","0.000010",
"365","0.000132","0.000010","0.000031","0.000010",
"366","0.000123","0.000013","0.000029","0.000010",
"367","0.000099","0.000022","0.000032","0.000010",
"368","0.000107","0.000015","0.000026","0.000010",
"369","0.000133","0.000015","0.000032","0.000010",
"370","0.000142","0.000023","0.000038","0.000010",
"371","0.000164","0.000010","0.000038","0.000010",
"372","0.000128","0.000018","0.000043","0.000010",
"373","0.000131","0.000010","0.000049","0.000010",
"374","0.000133","0.000013","0.000059","0.000010",
"375","0.000142","0.000035","0.000053","0.000010",
"376","0.000117","0.000010","0.000055","0.000010",
"377","0.000114","0.000022","0.000056","0.000010",
"378","0.000126","0.000010","0.000054","0.000010",
"379","0.000126","0.000010","0.000051","0.000010",
"380","0.000110","0.000015","0.000060","0.000010",
"381","0.000126","0.000017","0.000072","0.000010",
"382","0.000125","0.000011","0.000071","0.000010",
"383","0.000140","0.000033","0.000070","0.000010",
"384","0.000155","0.000010","0.000074","0.000010",
"385","0.000123","0.000021","0.000083","0.000010",
"386","0.000087","0.000010","0.000082","0.000010",
"387","0.000111","0.000014","0.000083","0.000010",
"388","0.000092","0.000026","0.000080","0.000010",
"389","0.000086","0.000010","0.000081","0.000010",
"390","0.000070","0.000017","0.000086","0.000010",
"391","0.000052","0.000013","0.000089","0.000010",
"392","0.000045","0.000010","0.000086","0.000010",
"393","0.000069","0.000014","0.000087","0.000010",
"394","0.000050","0.000011","0.000088","0.000010",
"395","0.000018","0.000011","0.000088","0.000010",
"396","0.000010","0.000035","0.000094","0.000010",
"397","0.000014","0.000010","0.000085","0.000010",
"398","0.000010","0.000022","0.000081","0.000010",
"399","0.000010","0.000010","0.000079","0.000010",
"400","0.000010","0.000011","0.000089","0.000010",
"401","0.000010","0.000017","0.000086","0.000010",
"402","0.000010","0.000016","0.000091","0.000010",
"403","0.000010","0.000012","0.000089","0.000010",
"404","0.000024","0.000026","0.000094","0.000010",
"405","0.000017","0.000010","0.000090","0.000010",
"406","0.000026","0.000018","0.000099","0.000010",
"407","0.000010","0.000010","0.000096","0.000010",
"408","0.000021","0.000012","0.000094","0.000010",
"409","0.000011","0.000030","0.000092","0.000010",
"410","0.000011","0.000010","0.000090","0.000010",
"411","0.000020","0.000019","0.000090","0.000010",
"412","0.000027","0.000010","0.000094","0.000010",
"413","0.000036","0.000010","0.000094","0.000010",
"414","0.000011","0.000013","0.000088","0.000010",
"415","0.000031","0.000014","0.000088","0.000010",
"416","0.000076","0.000010","0.000090","0.000010",
"417","0.000072","0.000033","0.000089","0.000010",
"418","0.000062","0.000010","0.000097","0.000010",
"419","0.000087","0.000021","0.000099","0.000010",
"420","0.000091","0.000010","0.000099","0.000010",
"421","0.000094","0.000012","0.000100","0.000010",
"422","0.000089","0.000021","0.000102","0.000010",
"423","0.000098","0.000012","0.000109","0.000010",
"424","0.000054","0.000014","0.000106","0.000010",
"425","0.000071","0.000017","0.000101","0.000010",
"426","0.000051","0.000010","0.000103","0.000010",
"427","0.000072","0.000014","0.000097","0.000010",
"428","0.000106","0.000010","0.000088","0.000010",
"429","0.000101","0.000011","0.000078","0.000010",
"430","0.000122","0.000032","0.000079","0.000010",
"431","0.000108","0.000010","0.000074","0.000010",
"432","0.000101","0.000020","0.000071","0.000010",
"433","0.000120","0.000010","0.000076","0.000010",
"434","0.000129","0.000010","0.000076","0.000010",
"435","0.000127","0.000014","0.000071","0.000010",
"436","0.000115","0.000015","0.000069","0.000010",
"437","0.000085","0.000010","0.000068","0.000010",
"438","0.000098","0.000027","0.000071","0.000010",
"439","0.000098","0.000010","0.000070","0.000010",
"440","0.000115","0.000018","0.000070","0.000010",
"441","0.000103","0.000010","0.000069","0.000010",
"442","0.000065","0.000012","0.000071","0.000010",
"443","0.000040","0.000025","0.000068","0.000010",
"444","0.000032","0.000010","0.000068","0.000010",
"445","0.000021","0.000016","0.000063","0.000010",
"446","0.000033","0.000010","0.000061","0.000010",
"447","0.000041","0.000010","0.000061","0.000010",
"448","0.000014","0.000012","0.000055","0.000010",
"449","0.000010","0.000011","0.000052","0.000010",
"450","0.000010","0.000010","0.000055","0.000010",
"451","0.000010","0.000031","0.000051","0.000010",
"452","0.000013","0.000010","0.000047","0.000010",
"453","0.000020","0.000020","0.000051","0.000010",
"454","0.000057","0.000010","0.000057","0.000010",
"455","0.000077","0.000010","0.000056","0.000010",
"456","0.000069","0.000017","0.000055","0.000010",
"457","0.000073","0.000013","0.000048","0.000010",
"458","0.000048","0.000012","0.000052","0.000010",
"459","0.000041","0.000020","0.000052","0.000010",
"460","0.000029","0.000010","0.000047","0.000010",
"461","0.000056","0.000015","0.000052","0.000010",
"462","0.000040","0.000010","0.000043","0.000010",
"463","0.000027","0.000010","0.000042","0.000010",
"464","0.000027","0.000028","0.000034","0.000010",
"465","0.000012","0.000010","0.000031","0.000010",
"466","0.000010","0.000018","0.000032","0.000010",
"467","0.000010","0.000010","0.000044","0.000010",
"468","0.000014","0.000010","0.000043","0.000010",
"469","0.000057","0.000012","0.000048","0.000010",
"470","0.000066","0.000013","0.000040","0.000010",
"471","0.000082","0.000010","0.000037","0.000010",
"472","0.000098","0.000028","0.000027","0.000010",
"473","0.000083","0.000010","0.000017","0.000010",
"474","0.000073","0.000018","0.000014","0.000010",
"475","0.000070","0.000010","0.000022","0.000010",
"476","0.000078","0.000011","0.000016","0.000010",
"477","0.000085","0.000020","0.000017","0.000010",
"478","0.000067","0.000010","0.000017","0.000010",
"479","0.000069","0.000014","0.000019","0.000010",
"480","0.000090","0.000013","0.000013","0.000010",
"481","0.000081","0.000010","0.000011","0.000010",
"482","0.000078","0.000012","0.000010","0.000010",
"483","0.000089","0.000010","0.000010","0.000010",
"484","0.000080","0.000010","0.000010","0.000010",
"485","0.000091","0.000029","0.000010","0.000010",
"486","0.000109","0.000010","0.000010","0.000010",
"487","0.000112","0.000018","0.000012","0.000010",
"488","0.000119","0.000010","0.000010","0.000010",
"489","0.000125","0.000010","0.000016","0.000010",
"490","0.000100","0.000013","0.000013","0.000010",
"491","0.000086","0.000013","0.000017","0.000010",
"492","0.000111","0.000010","0.000019","0.000010",
"493","0.000116","0.000022","0.000021","0.000010",
"494","0.000126","0.000010","0.000019","0.000010",
"495","0.000116","0.000015","0.000014","0.000010",
"496","0.000094","0.000010","0.000010","0.000010",
"497","0.000105","0.000010","0.000010","0.000010",
"498","0.000111","0.000023","0.000010","0.000010",
"499","0.000119","0.000010","0.000010","0.000010",
"500","0.000137","0.000015","0.000010","0.000010",
"501","0.000114","0.000010","0.000010","0.000010",
"502","0.000130","0.000010","0.000013","0.000010",
"503","0.000113","0.000011","0.000012","0.000010",
"504","0.000117","0.000011","0.000010","0.000010",
"505","0.000075","0.000010","0.000010","0.000010",
"506","0.000088","0.000027","0.000010","0.000010",
"507","0.000094","0.000010","0.000010","0.000010",
"508","0.000060","0.000017","0.000015","0.000010",
"509","0.000034","0.000010","0.000017","0.000010",
"510","0.000035","0.000010","0.000018","0.000010",
"511","0.000011","0.000016","0.000019","0.000010",
"512","0.000010","0.000010","0.000017","0.000010",
"513","0.000010","0.000011","0.000012","0.000010",
"514","0.000014","0.000016","0.000010","0.000010",
"515","0.000010","0.000010","0.000010","0.000010",
"516","0.000010","0.000012","0.000010","0.000010",
"517","0.000010","0.000010","0.000010","0.000010",
"518","0.000021","0.000010","0.000010","0.000010",
"519","0.000048","0.000026","0.000010","0.000010",
"520","0.000011","0.000010","0.000010","0.000010",
"521","0.000010","0.000016","0.000010","0.000010",
"522","0.000020","0.000010","0.000010","0.000010",
"523","0.000022","0.000010","0.000010","0.000010",
"524","0.000039","0.000011","0.000010","0.000010",
"525","0.000026","0.000012","0.000019","0.000010",
"526","0.000030","0.000010","0.000024","0.000010",
"527","0.000029","0.000024","0.000025","0.000010",
"528","0.000062","0.000010","0.000026","0.000010",
"529","0.000053","0.000015","0.000024","0.000010",
"530","0.000048","0.000010","0.000017","0.000010",
"531","0.000050","0.000010","0.000019","0.000010",
"532","0.000060","0.000020","0.000019","0.000010",
"533","0.000033","0.000010","0.000018","0.000010",
"534","0.000030","0.000013","0.000021","0.000010",
"535","0.000017","0.000010","0.000020","0.000010",
"536","0.000036","0.000010","0.000021","0.000010",
"537","0.000030","0.000010","0.000026","0.000010",
"538","0.000044","0.000010","0.000028","0.000010",
"539","0.000062","0.000010","0.000031","0.000010",
"540","0.000041","0.000026","0.000030","0.000010",
"541","0.000059","0.000010","0.000027","0.000010",
"542","0.000034","0.000016","0.000025","0.000010",
"543","0.000016","0.000010","0.000022","0.000010",
"544","0.000021","0.000010","0.000024","0.000010",
"545","0.000034","0.000013","0.000022","0.000010",
"546","0.000046","0.000011","0.000024","0.000010",
"547","0.000023","0.000010","0.000023","0.000010",
"548","0.000010","0.000018","0.000030","0.000010",
"549","0.000015","0.000010","0.000031","0.000010",
"550","0.000010","0.000013","0.000030","0.000010",
"551","0.000010","0.000010","0.000032","0.000010",
"552","0.000013","0.000010","0.000031","0.000010",
"553","0.000010","0.000022","0.000032","0.000010",
"554","0.000019","0.000010","0.000034","0.000010",
"555","0.000029","0.000015","0.000040","0.000010",
"556","0.000016","0.000010","0.000036","0.000010",
"557","0.000010","0.000010","0.000040","0.000010",
"558","0.000010","0.000010","0.000036","0.000010",
"559","0.000010","0.000011","0.000035","0.000010",
"560","0.000010","0.000010","0.000032","0.000010",
"561","0.000010","0.000024","0.000037","0.000010",
"562","0.000010","0.000010","0.000042","0.000010",
"563","0.000024","0.000015","0.000042","0.000010",
"564","0.000027","0.000010","0.000044","0.000010",
"565","0.000040","0.000010","0.000046","0.000010",
"566","0.000041","0.000016","0.000041","0.000010",
"567","0.000025","0.000010","0.000040","0.000010",
"568","0.000025","0.000011","0.000033","0.000010",
"569","0.000018","0.000012","0.000034","0.000010",
"570","0.000023","0.000010","0.000035","0.000010",
"571","0.000010","0.000011","0.000032","0.000010",
"572","0.000038","0.000010","0.000037","0.000010",
"573","0.000047","0.000010","0.000034","0.000010",
"574","0.000048","0.000024","0.000038","0.000010",
"575","0.000051","0.000010","0.000042","0.000010",
"576","0.000041","0.000015","0.000047","0.000010",
"577","0.000047","0.000010","0.000050","0.000010",
"578","0.000028","0.000010","0.000050","0.000010",
"579","0.000012","0.000011","0.000048","0.000010",
